date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:07	18398/18398	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:04%20GMT	https://colorlib.com/demo?theme=glint	colorlib.com/demoe03d.html	(from )
20:24:08	73/73	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
20:24:08	6949/6949	---MCZ	200	added ('OK')	text/css	etag:W/%225a14245c-1b25%22	https://colorlib.com/wp-content/plugins/fbar/css/frame.css	colorlib.com/wp-content/plugins/fbar/css/frame.css	(from https://colorlib.com/demo?theme=glint)
20:24:10	23751/23751	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Apr%202019%2003:24:07%20GMT	https://colorlib.com/wp-content/uploads/2017/11/11	colorlib.com/wp-content/uploads/2017/11/11	(from https://colorlib.com/demo?theme=glint)
20:24:12	64206/64206	---MC-	200	added ('OK')	application/javascript	date:Fri,%2019%20Apr%202019%2021:22:44%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-23581568-13	www.googletagmanager.com/gtag/jsa055	(from https://colorlib.com/demo?theme=glint)
20:24:12	92641/92641	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a09d9e5-169e1%22	https://colorlib.com/wp-content/plugins/fbar/js/jquery-1.9.1.min.js	colorlib.com/wp-content/plugins/fbar/js/jquery-1.9.1.min.js	(from https://colorlib.com/demo?theme=glint)
20:24:13	1293/1293	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a09d9e6-50d%22	https://colorlib.com/wp-content/plugins/fbar/js/custom.js	colorlib.com/wp-content/plugins/fbar/js/custom.js	(from https://colorlib.com/demo?theme=glint)
20:24:14	365231/365231	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.8.23/jquery-ui.js	ajax.googleapis.com/ajax/libs/jqueryui/1.8.23/jquery-ui.js	(from https://colorlib.com/demo?theme=glint)
20:24:15	18389/18389	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:11%20GMT	https://colorlib.com/demo?theme=Celt	colorlib.com/demo70c2.html	(from https://colorlib.com/demo?theme=glint)
20:24:16	35415/35415	---M--	200	added ('OK')	image/jpeg	etag:%225a186cab-8d93%22	https://colorlib.com/wp-content/uploads/2017/11/celt-free-construction-company-website-template-1.jpg	colorlib.com/wp-content/uploads/2017/11/celt-free-construction-company-website-template-1.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:17	18443/18443	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:13%20GMT	https://colorlib.com/demo?theme=TOPBuilder	colorlib.com/demo3cde.html	(from https://colorlib.com/demo?theme=glint)
20:24:19	18416/18416	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:15%20GMT	https://colorlib.com/demo?theme=bobsled	colorlib.com/demo19d5.html	(from https://colorlib.com/demo?theme=glint)
20:24:20	56810/56810	---M--	200	added ('OK')	image/jpeg	etag:%225a143465-e4e8%22	https://colorlib.com/wp-content/uploads/2017/11/topbuilder-construction-company-website-template-pr.jpg	colorlib.com/wp-content/uploads/2017/11/topbuilder-construction-company-website-template-pr.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:20	39142/39142	---M--	200	added ('OK')	image/jpeg	etag:%225a143a52-9e24%22	https://colorlib.com/wp-content/uploads/2017/11/bobsled-creative-website-template-pr.jpg	colorlib.com/wp-content/uploads/2017/11/bobsled-creative-website-template-pr.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:21	18389/18389	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:17%20GMT	https://colorlib.com/demo?theme=bona	colorlib.com/demob8d9.html	(from https://colorlib.com/demo?theme=glint)
20:24:23	18386/18386	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:19%20GMT	https://colorlib.com/demo?theme=labs	colorlib.com/demo6569.html	(from https://colorlib.com/demo?theme=glint)
20:24:24	71284/71284	---M--	200	added ('OK')	image/jpeg	etag:%225a14421b-11f11%22	https://colorlib.com/wp-content/uploads/2017/11/bona-food-blog-website-template-pr.jpg	colorlib.com/wp-content/uploads/2017/11/bona-food-blog-website-template-pr.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:25	18375/18375	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:21%20GMT	https://colorlib.com/demo?theme=ca-app	colorlib.com/demo0317.html	(from https://colorlib.com/demo?theme=glint)
20:24:25	40186/40186	---M--	200	added ('OK')	image/jpeg	etag:%225a15b1dc-9fb3%22	https://colorlib.com/wp-content/uploads/2017/11/labs-digital-agency-website-template-pr.jpg	colorlib.com/wp-content/uploads/2017/11/labs-digital-agency-website-template-pr.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:27	18407/18407	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:23%20GMT	https://colorlib.com/demo?theme=datarc	colorlib.com/demod95e.html	(from https://colorlib.com/demo?theme=glint)
20:24:27	40276/40276	---M--	200	added ('OK')	image/jpeg	etag:%225a15bfac-a474%22	https://colorlib.com/wp-content/uploads/2017/11/ca-app-showcase-website-template-pr.jpg	colorlib.com/wp-content/uploads/2017/11/ca-app-showcase-website-template-pr.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:28	24171/24171	---M--	200	added ('OK')	image/jpeg	etag:%225a16d608-5ffd%22	https://colorlib.com/wp-content/uploads/2017/11/datarc-digital-agency-free-website-template-pr.jpg	colorlib.com/wp-content/uploads/2017/11/datarc-digital-agency-free-website-template-pr.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:29	18416/18416	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:25%20GMT	https://colorlib.com/demo?theme=dinomuz	colorlib.com/demo26ac.html	(from https://colorlib.com/demo?theme=glint)
20:24:31	18425/18425	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:27%20GMT	https://colorlib.com/demo?theme=go-crepe	colorlib.com/demo872a.html	(from https://colorlib.com/demo?theme=glint)
20:24:31	36917/36917	---M--	200	added ('OK')	image/jpeg	etag:%225a16d99a-933b%22	https://colorlib.com/wp-content/uploads/2017/11/dinomuz-free-creative-website-template-pr.jpg	colorlib.com/wp-content/uploads/2017/11/dinomuz-free-creative-website-template-pr.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:33	18443/18443	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:29%20GMT	https://colorlib.com/demo?theme=ilene-berg	colorlib.com/demo5857.html	(from https://colorlib.com/demo?theme=glint)
20:24:33	47333/47333	---M--	200	added ('OK')	image/jpeg	etag:%225a16de5d-be47%22	https://colorlib.com/wp-content/uploads/2017/11/go-crepe-creative-digital-agency-website-template-pr.jpg	colorlib.com/wp-content/uploads/2017/11/go-crepe-creative-digital-agency-website-template-pr.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:34	25241/25241	---M--	200	added ('OK')	image/jpeg	etag:%225a16e39e-65cc%22	https://colorlib.com/wp-content/uploads/2017/11/fullscreen-ilene-berg-free-website-template-pr.jpg	colorlib.com/wp-content/uploads/2017/11/fullscreen-ilene-berg-free-website-template-pr.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:35	18407/18407	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:31%20GMT	https://colorlib.com/demo?theme=MobApp	colorlib.com/demoa697.html	(from https://colorlib.com/demo?theme=glint)
20:24:36	33025/33025	---M--	200	added ('OK')	image/jpeg	etag:%225a16e65d-8773%22	https://colorlib.com/wp-content/uploads/2017/11/MobApp-free-one-mobile-app-landing-page-pe.jpg	colorlib.com/wp-content/uploads/2017/11/MobApp-free-one-mobile-app-landing-page-pe.jpg	(from https://colorlib.com/demo?theme=glint)
20:24:37	18434/18434	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2003:24:33%20GMT	https://colorlib.com/demo?theme=five-star	colorlib.com/democ7a6.html	(from https://colorlib.com/demo?theme=glint)
20:24:38	20985/20985	---M--	200	added ('OK')	image/jpeg	etag:%225a16e819-5620%22	https://colorlib.com/wp-content/uploads/2017/11/five-star-art-crafting-website-template-pr.jpg	colorlib.com/wp-content/uploads/2017/11/five-star-art-crafting-website-template-pr.jpg	(from https://colorlib.com/demo?theme=glint)
